Review,Liked,Review_cleaned,Review_lemmatized,Review_tokenized,Review_Length,polarity,sentiment
"If it were possible to give them zero stars, they'd have it.",0,if possible give zero stars it,if possible give zero star it,"['if', 'possible', 'give', 'zero', 'star', 'it']",60,0.0,0
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,the said yum yum sauce another said sauce yet another said spicy none rolls them,the said yum yum sauce another said sauce yet another said spicy none roll them,"['the', 'said', 'yum', 'yum', 'sauce', 'another', 'said', 'sauce', 'yet', 'another', 'said', 'spicy', 'none', 'roll', 'them']",142,0.0,0
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,id say would honestly dishes taste taste amazing,id say would honestly dish taste taste amazing,"['id', 'say', 'would', 'honestly', 'dish', 'taste', 'taste', 'amazing']",121,0.7783,1
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,if not may stayed not sure go back try again,if not may stayed not sure go back try again,"['if', 'not', 'may', 'stayed', 'not', 'sure', 'go', 'back', 'try', 'again']",98,-0.2411,0
"Everyone is very attentive, providing excellent customer service.",1,everyone attentive excellent customer service,everyone attentive excellent customer service,"['everyone', 'attentive', 'excellent', 'customer', 'service']",65,0.5719,1
Horrible - don't waste your time and money.,0,horrible dont waste time money,horrible dont waste time money,"['horrible', 'dont', 'waste', 'time', 'money']",43,-0.2887,0
Now this dish was quite flavourful.,1,now dish quite,now dish quite,"['now', 'dish', 'quite']",35,0.0,0
By this time our side of the restaurant was almost empty so there was no excuse.,0,by time side restaurant almost empty no excuse,by time side restaurant almost empty no excuse,"['by', 'time', 'side', 'restaurant', 'almost', 'empty', 'no', 'excuse']",80,-0.3383,0
"(It wasn't busy either) Also, the building was FREEZING cold.",0,it wasnt busy either also building cold,it wasnt busy either also building cold,"['it', 'wasnt', 'busy', 'either', 'also', 'building', 'cold']",61,0.0,0
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,like said you pay eat place again,like said you pay eat place again,"['like', 'said', 'you', 'pay', 'eat', 'place', 'again']",78,0.2732,1
-Drinks took close to 30 minutes to come out at one point.,0,drinks took close minutes come one point,drink took close minute come one point,"['drink', 'took', 'close', 'minute', 'come', 'one', 'point']",58,0.0,0
"Seriously flavorful delights, folks.",1,seriously flavorful folks,seriously flavorful folk,"['seriously', 'flavorful', 'folk']",36,-0.1779,1
Much better than the other AYCE sushi place I went to in Vegas.,1,much better sushi place i went vegas,much better sushi place i went vega,"['much', 'better', 'sushi', 'place', 'i', 'went', 'vega']",63,0.4404,1
The lighting is just dark enough to set the mood.,1,the dark enough set,the dark enough set,"['the', 'dark', 'enough', 'set']",49,0.0,0
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,subpar service i received no business i wont going back,subpar service i received no business i wont going back,"['subpar', 'service', 'i', 'received', 'no', 'business', 'i', 'wont', 'going', 'back']",116,-0.296,1
Owner's are really great people.!,1,owners really great people,owner really great people,"['owner', 'really', 'great', 'people']",33,0.659,1
There is nothing privileged about working/eating there.,0,there nothing there,there nothing there,"['there', 'nothing', 'there']",55,0.0,0
The Greek dressing was very creamy and flavorful.,1,the greek dressing creamy flavorful,the greek dressing creamy flavorful,"['the', 'greek', 'dressing', 'creamy', 'flavorful']",49,0.0,0
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overall i dont think i would take place made similar complaints i felt too,overall i dont think i would take place made similar complaint i felt too,"['overall', 'i', 'dont', 'think', 'i', 'would', 'take', 'place', 'made', 'similar', 'complaint', 'i', 'felt', 'too']",146,-0.296,0
Now the pizza itself was good the peanut sauce was very tasty.,1,now pizza good sauce tasty,now pizza good sauce tasty,"['now', 'pizza', 'good', 'sauce', 'tasty']",62,0.4404,1
We had 7 at our table and the service was pretty fast.,1,we table service pretty fast,we table service pretty fast,"['we', 'table', 'service', 'pretty', 'fast']",54,0.4939,1
Fantastic service here.,1,fantastic service here,fantastic service here,"['fantastic', 'service', 'here']",23,0.5574,1
I as well would've given godfathers zero stars if possible.,0,i well given zero stars possible,i well given zero star possible,"['i', 'well', 'given', 'zero', 'star', 'possible']",59,0.2732,1
They know how to make them here.,1,they know make here,they know make here,"['they', 'know', 'make', 'here']",32,0.0,0
very tough and very short on flavor!,0,flavor,flavor,['flavor'],36,0.0,0
I hope this place sticks around.,1,i hope place sticks around,i hope place stick around,"['i', 'hope', 'place', 'stick', 'around']",32,0.4404,1
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,i bars vegas not ever tap water,i bar vega not ever tap water,"['i', 'bar', 'vega', 'not', 'ever', 'tap', 'water']",97,0.0,0
The restaurant atmosphere was exquisite.,1,the restaurant atmosphere,the restaurant atmosphere,"['the', 'restaurant', 'atmosphere']",40,0.0,0
"Good service, very clean, and inexpensive, to boot!",1,good service clean inexpensive boot,good service clean inexpensive boot,"['good', 'service', 'clean', 'inexpensive', 'boot']",51,0.6808,1
The seafood was fresh and generous in portion.,1,the seafood fresh generous portion,the seafood fresh generous portion,"['the', 'seafood', 'fresh', 'generous', 'portion']",46,0.6808,1
"Plus, it's only 8 bucks.",1,plus bucks,plus buck,"['plus', 'buck']",24,0.0,0
"The service was not up to par, either.",0,the service not par either,the service not par either,"['the', 'service', 'not', 'par', 'either']",38,0.0,0
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,far twice food absolutely delicious time,far twice food absolutely delicious time,"['far', 'twice', 'food', 'absolutely', 'delicious', 'time']",82,0.6115,1
Just as good as when I had it more than a year ago!,1,just good i year ago,just good i year ago,"['just', 'good', 'i', 'year', 'ago']",51,0.4404,1
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,for coffee cafe i disappointed,for coffee cafe i disappointed,"['for', 'coffee', 'cafe', 'i', 'disappointed']",61,-0.4767,0
The Veggitarian platter is out of this world!,1,the world,the world,"['the', 'world']",45,0.0,0
You cant go wrong with any of the food here.,1,you cant go wrong food here,you cant go wrong food here,"['you', 'cant', 'go', 'wrong', 'food', 'here']",44,0.3724,1
You can't beat that.,1,you cant beat that,you cant beat that,"['you', 'cant', 'beat', 'that']",20,0.0,0
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stopped place friendly kind staff,stopped place friendly kind staff,"['stopped', 'place', 'friendly', 'kind', 'staff']",82,0.6908,1
The chefs were friendly and did a good job.,1,the friendly good job,the friendly good job,"['the', 'friendly', 'good', 'job']",43,0.7269,1
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,ive better not boba tea even pho,ive better not boba tea even pho,"['ive', 'better', 'not', 'boba', 'tea', 'even', 'pho']",81,0.4404,1
I liked the patio and the service was outstanding.,1,i liked patio service outstanding,i liked patio service outstanding,"['i', 'liked', 'patio', 'service', 'outstanding']",50,0.7783,1
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,the taco didnt meat wow flavor,the taco didnt meat wow flavor,"['the', 'taco', 'didnt', 'meat', 'wow', 'flavor']",59,-0.4717,1
I think not again,0,i think not,i think not,"['i', 'think', 'not']",17,0.0,0
I had the mac salad and it was pretty bland so I will not be getting that again.,0,i salad pretty bland i not getting again,i salad pretty bland i not getting again,"['i', 'salad', 'pretty', 'bland', 'i', 'not', 'getting', 'again']",80,0.4939,1
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,i went bachi burger friends recommendation not disappointed,i went bachi burger friend recommendation not disappointed,"['i', 'went', 'bachi', 'burger', 'friend', 'recommendation', 'not', 'disappointed']",77,0.696,1
Service stinks here!,0,service here,service here,"['service', 'here']",20,0.0,0
I waited and waited.,0,i waited waited,i waited waited,"['i', 'waited', 'waited']",20,0.0,0
"This place is not quality sushi, it is not a quality restaurant.",0,this place not quality sushi not quality restaurant,this place not quality sushi not quality restaurant,"['this', 'place', 'not', 'quality', 'sushi', 'not', 'quality', 'restaurant']",64,0.0,0
I would definitely recommend the wings as well as the pizza.,1,i would definitely recommend wings well pizza,i would definitely recommend wing well pizza,"['i', 'would', 'definitely', 'recommend', 'wing', 'well', 'pizza']",60,0.743,1
Great Pizza and Salads!,1,great pizza salads,great pizza salad,"['great', 'pizza', 'salad']",23,0.6249,1
Things that went wrong: - They burned the saganaki.,0,things went wrong they,thing went wrong they,"['thing', 'went', 'wrong', 'they']",51,-0.4767,0
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,we waited hour breakfast i could done times better home,we waited hour breakfast i could done time better home,"['we', 'waited', 'hour', 'breakfast', 'i', 'could', 'done', 'time', 'better', 'home']",86,0.4404,1
This place is amazing!,1,this place amazing,this place amazing,"['this', 'place', 'amazing']",22,0.5859,1
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,i hate husband i disappointed place,i hate husband i disappointed place,"['i', 'hate', 'husband', 'i', 'disappointed', 'place']",101,-0.7783,0
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,waited hours never got either pizzas many around us came later did,waited hour never got either pizza many around u came later did,"['waited', 'hour', 'never', 'got', 'either', 'pizza', 'many', 'around', 'u', 'came', 'later', 'did']",94,0.0,0
Just don't know why they were so slow.,0,just dont know slow,just dont know slow,"['just', 'dont', 'know', 'slow']",38,0.0,0
"The staff is great, the food is delish, and they have an incredible beer selection.",1,the staff great food delish incredible beer selection,the staff great food delish incredible beer selection,"['the', 'staff', 'great', 'food', 'delish', 'incredible', 'beer', 'selection']",83,0.6249,1
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,i live neighborhood i disappointed i wont back here convenient location,i live neighborhood i disappointed i wont back here convenient location,"['i', 'live', 'neighborhood', 'i', 'disappointed', 'i', 'wont', 'back', 'here', 'convenient', 'location']",106,-0.4767,0
I didn't know pulled pork could be soooo delicious.,1,i didnt know pulled pork could soooo delicious,i didnt know pulled pork could soooo delicious,"['i', 'didnt', 'know', 'pulled', 'pork', 'could', 'soooo', 'delicious']",51,0.5719,1
"You get incredibly fresh fish, prepared with care.",1,you get fresh fish care,you get fresh fish care,"['you', 'get', 'fresh', 'fish', 'care']",50,0.6705,1
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,before i go i gave star please know third time eating bachi burger review,before i go i gave star please know third time eating bachi burger review,"['before', 'i', 'go', 'i', 'gave', 'star', 'please', 'know', 'third', 'time', 'eating', 'bachi', 'burger', 'review']",132,0.3182,1
I love the fact that everything on their menu is worth it.,1,i love fact everything menu worth it,i love fact everything menu worth it,"['i', 'love', 'fact', 'everything', 'menu', 'worth', 'it']",58,0.7269,1
Never again will I be dining at this place!,0,never i dining place,never i dining place,"['never', 'i', 'dining', 'place']",43,0.0,0
The food was excellent and service was very good.,1,the food excellent service good,the food excellent service good,"['the', 'food', 'excellent', 'service', 'good']",49,0.765,1
Good beer & drink selection and good food selection.,1,good beer drink selection good food selection,good beer drink selection good food selection,"['good', 'beer', 'drink', 'selection', 'good', 'food', 'selection']",52,0.7003,1
Please stay away from the shrimp stir fried noodles.,0,please stay away shrimp stir fried,please stay away shrimp stir fried,"['please', 'stay', 'away', 'shrimp', 'stir', 'fried']",52,0.3182,1
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,the potato order sad i could probably many chips probably around,the potato order sad i could probably many chip probably around,"['the', 'potato', 'order', 'sad', 'i', 'could', 'probably', 'many', 'chip', 'probably', 'around']",118,-0.4767,0
Food was really boring.,0,food really,food really,"['food', 'really']",23,0.0,0
Good Service-check!,1,good,good,['good'],19,0.4404,1
This greedy corporation will NEVER see another dime from me!,0,this never see another me,this never see another me,"['this', 'never', 'see', 'another', 'me']",60,0.0,0
"Will never, ever go back.",0,will never ever go back,will never ever go back,"['will', 'never', 'ever', 'go', 'back']",25,0.0,0
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,as much id like go back i cant get passed service never return,a much id like go back i cant get passed service never return,"['a', 'much', 'id', 'like', 'go', 'back', 'i', 'cant', 'get', 'passed', 'service', 'never', 'return']",95,0.3612,1
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,in summer dine patio delightful,in summer dine patio delightful,"['in', 'summer', 'dine', 'patio', 'delightful']",77,0.5859,1
I did not expect this to be so good!,1,i not expect good,i not expect good,"['i', 'not', 'expect', 'good']",36,-0.3412,1
Fantastic food!,1,fantastic food,fantastic food,"['fantastic', 'food']",15,0.5574,1
She ordered a toasted English muffin that came out untoasted.,0,she ordered toasted came,she ordered toasted came,"['she', 'ordered', 'toasted', 'came']",61,0.0,0
The food was very good.,1,the food good,the food good,"['the', 'food', 'good']",23,0.4404,1
Never going back.,0,never going back,never going back,"['never', 'going', 'back']",17,0.0,0
"Great food for the price, which is very high quality and house made.",1,great food price high quality house made,great food price high quality house made,"['great', 'food', 'price', 'high', 'quality', 'house', 'made']",68,0.6249,1
The bus boy on the other hand was so rude.,0,the boy hand rude,the boy hand rude,"['the', 'boy', 'hand', 'rude']",42,0.0516,0
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,by point friends i basically place joke didnt mind known,by point friend i basically place joke didnt mind known,"['by', 'point', 'friend', 'i', 'basically', 'place', 'joke', 'didnt', 'mind', 'known']",132,0.6597,1
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,back good fare reasonable pricing tell back old,back good fare reasonable pricing tell back old,"['back', 'good', 'fare', 'reasonable', 'pricing', 'tell', 'back', 'old']",101,0.4404,1
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,and considering two us left full happy cant go wrong,and considering two u left full happy cant go wrong,"['and', 'considering', 'two', 'u', 'left', 'full', 'happy', 'cant', 'go', 'wrong']",100,0.7394,1
All the bread is made in-house!,1,all bread made,all bread made,"['all', 'bread', 'made']",31,0.0,0
The only downside is the service.,0,the service,the service,"['the', 'service']",33,0.0,0
"Also, the fries are without a doubt the worst fries I've ever had.",0,also fries without doubt worst fries ive ever had,also fry without doubt worst fry ive ever had,"['also', 'fry', 'without', 'doubt', 'worst', 'fry', 'ive', 'ever', 'had']",66,0.6602,1
Service was exceptional and food was a good as all the reviews.,1,service food good reviews,service food good review,"['service', 'food', 'good', 'review']",63,0.4404,1
"A couple of months later, I returned and had an amazing meal.",1,a couple later i amazing meal,a couple later i amazing meal,"['a', 'couple', 'later', 'i', 'amazing', 'meal']",61,0.5859,1
Favorite place in town for shawarrrrrrma!!!!!!,1,favorite place town,favorite place town,"['favorite', 'place', 'town']",46,0.4588,1
The black eyed peas and sweet potatoes... UNREAL!,1,the black sweet potatoes,the black sweet potato,"['the', 'black', 'sweet', 'potato']",49,0.4588,1
You won't be disappointed.,1,you wont disappointed,you wont disappointed,"['you', 'wont', 'disappointed']",26,0.3724,1
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,they could serve may make better overall dish still good,they could serve may make better overall dish still good,"['they', 'could', 'serve', 'may', 'make', 'better', 'overall', 'dish', 'still', 'good']",116,0.7003,1
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,i go far many places ive never seen restaurant serves egg breakfast especially,i go far many place ive never seen restaurant serf egg breakfast especially,"['i', 'go', 'far', 'many', 'place', 'ive', 'never', 'seen', 'restaurant', 'serf', 'egg', 'breakfast', 'especially']",115,0.0,0
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,when mom i got home immediately got sick bites salad,when mom i got home immediately got sick bite salad,"['when', 'mom', 'i', 'got', 'home', 'immediately', 'got', 'sick', 'bite', 'salad']",90,-0.5106,0
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,the servers not pleasant deal dont always pizza,the server not pleasant deal dont always pizza,"['the', 'server', 'not', 'pleasant', 'deal', 'dont', 'always', 'pizza']",88,-0.4023,0
"Both of them were truly unbelievably good, and I am so glad we went back.",1,both good i glad went back,both good i glad went back,"['both', 'good', 'i', 'glad', 'went', 'back']",73,0.7096,1
"We had fantastic service, and were pleased by the atmosphere.",1,we fantastic service pleased atmosphere,we fantastic service pleased atmosphere,"['we', 'fantastic', 'service', 'pleased', 'atmosphere']",61,0.7579,1
Everything was gross.,0,everything gross,everything gross,"['everything', 'gross']",21,-0.4767,0
I love this place.,1,i love place,i love place,"['i', 'love', 'place']",18,0.6369,1
Great service and food.,1,great service food,great service food,"['great', 'service', 'food']",23,0.6249,1
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,first bathrooms location dirty not,first bathroom location dirty not,"['first', 'bathroom', 'location', 'dirty', 'not']",105,-0.4404,0
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,the burger i got gold burger kind disappointed,the burger i got gold burger kind disappointed,"['the', 'burger', 'i', 'got', 'gold', 'burger', 'kind', 'disappointed']",82,0.0772,0
"OMG, the food was delicioso!",1,omg food,omg food,"['omg', 'food']",28,0.0,0
There is nothing authentic about this place.,0,there nothing authentic place,there nothing authentic place,"['there', 'nothing', 'authentic', 'place']",44,0.0,0
the spaghetti is nothing special whatsoever.,0,nothing special,nothing special,"['nothing', 'special']",44,-0.3089,0
"Of all the dishes, the salmon was the best, but all were great.",1,of dishes salmon best great,of dish salmon best great,"['of', 'dish', 'salmon', 'best', 'great']",63,0.8519,1
The vegetables are so fresh and the sauce feels like authentic Thai.,1,the vegetables fresh sauce feels like authentic thai,the vegetable fresh sauce feel like authentic thai,"['the', 'vegetable', 'fresh', 'sauce', 'feel', 'like', 'authentic', 'thai']",68,0.5859,1
It's worth driving up from Tucson!,1,its worth,it worth,"['it', 'worth']",34,0.2263,1
The selection was probably the worst I've seen in Vegas.....there was none.,0,the selection probably worst ive seen none,the selection probably worst ive seen none,"['the', 'selection', 'probably', 'worst', 'ive', 'seen', 'none']",75,-0.6249,0
Pretty good beer selection too.,1,pretty good beer selection too,pretty good beer selection too,"['pretty', 'good', 'beer', 'selection', 'too']",31,0.7269,1
"This place is like Chipotle, but BETTER.",1,this place like better,this place like better,"['this', 'place', 'like', 'better']",40,0.6597,1
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,atmosphere fun fresh appetizers steaks steak,atmosphere fun fresh appetizer steak steak,"['atmosphere', 'fun', 'fresh', 'appetizer', 'steak', 'steak']",87,0.6808,1
5 stars for the brick oven bread app!,1,stars brick oven bread,star brick oven bread,"['star', 'brick', 'oven', 'bread']",37,0.0,0
"I have eaten here multiple times, and each time the food was delicious.",1,i eaten multiple times time food delicious,i eaten multiple time time food delicious,"['i', 'eaten', 'multiple', 'time', 'time', 'food', 'delicious']",71,0.5719,1
We sat another ten minutes and finally gave up and left.,0,we sat another ten minutes finally gave left,we sat another ten minute finally gave left,"['we', 'sat', 'another', 'ten', 'minute', 'finally', 'gave', 'left']",56,0.0,0
He was terrible!,0,he terrible,he terrible,"['he', 'terrible']",16,-0.4767,0
Everyone is treated equally special.,1,everyone treated equally special,everyone treated equally special,"['everyone', 'treated', 'equally', 'special']",36,0.4019,1
It shouldn't take 30 min for pancakes and eggs.,0,it take min pancakes eggs,it take min pancake egg,"['it', 'take', 'min', 'pancake', 'egg']",47,0.0,0
It was delicious!!!,1,it delicious,it delicious,"['it', 'delicious']",19,0.5719,1
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,on good side staff pleasant real treat,on good side staff pleasant real treat,"['on', 'good', 'side', 'staff', 'pleasant', 'real', 'treat']",83,0.836,1
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,steak place avoid next trip vegas,steak place avoid next trip vega,"['steak', 'place', 'avoid', 'next', 'trip', 'vega']",93,-0.296,0
As always the evening was wonderful and the food delicious!,1,as always evening wonderful food delicious,a always evening wonderful food delicious,"['a', 'always', 'evening', 'wonderful', 'food', 'delicious']",59,0.8126,1
Best fish I've ever had in my life!,1,best fish ive ever life,best fish ive ever life,"['best', 'fish', 'ive', 'ever', 'life']",35,0.6369,1
(The bathroom is just next door and very nice.),1,the bathroom next door nice,the bathroom next door nice,"['the', 'bathroom', 'next', 'door', 'nice']",47,0.4215,0
The buffet is small and all the food they offered was BLAND.,0,the buffet small food bland,the buffet small food bland,"['the', 'buffet', 'small', 'food', 'bland']",60,0.0,0
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,this outstanding little restaurant best food i ever tasted,this outstanding little restaurant best food i ever tasted,"['this', 'outstanding', 'little', 'restaurant', 'best', 'food', 'i', 'ever', 'tasted']",87,0.8369,1
Pretty cool I would say.,1,pretty cool i would say,pretty cool i would say,"['pretty', 'cool', 'i', 'would', 'say']",24,0.6705,1
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,definitely i doubt ill back unless someone else,definitely i doubt ill back unless someone else,"['definitely', 'i', 'doubt', 'ill', 'back', 'unless', 'someone', 'else']",82,-0.3818,1
Server did a great job handling our large rowdy table.,1,server great job large table,server great job large table,"['server', 'great', 'job', 'large', 'table']",54,0.6249,1
"I find wasting food to be despicable, but this just wasn't food.",0,i find wasting food wasnt food,i find wasting food wasnt food,"['i', 'find', 'wasting', 'food', 'wasnt', 'food']",64,-0.4019,0
My wife had the Lobster Bisque soup which was lukewarm.,0,my wife lobster bisque soup lukewarm,my wife lobster bisque soup lukewarm,"['my', 'wife', 'lobster', 'bisque', 'soup', 'lukewarm']",55,0.0,0
Would come back again if I had a sushi craving while in Vegas.,1,would come back i sushi vegas,would come back i sushi vega,"['would', 'come', 'back', 'i', 'sushi', 'vega']",62,0.0,0
"The staff are great, the ambiance is great.",1,the staff great ambiance great,the staff great ambiance great,"['the', 'staff', 'great', 'ambiance', 'great']",43,0.8481,1
He deserves 5 stars.,1,he deserves stars,he deserves star,"['he', 'deserves', 'star']",20,0.0,0
I left with a stomach ache and felt sick the rest of the day.,0,i left stomach felt sick day,i left stomach felt sick day,"['i', 'left', 'stomach', 'felt', 'sick', 'day']",61,-0.5106,0
They dropped more than the ball.,0,they,they,['they'],32,0.0,0
"The dining space is tiny, but elegantly decorated and comfortable.",1,the dining decorated comfortable,the dining decorated comfortable,"['the', 'dining', 'decorated', 'comfortable']",66,0.5106,1
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,they order way youd like eggplant green stir fry love it,they order way youd like eggplant green stir fry love it,"['they', 'order', 'way', 'youd', 'like', 'eggplant', 'green', 'stir', 'fry', 'love', 'it']",106,0.7717,1
And the beans and rice were mediocre at best.,0,and beans rice mediocre best,and bean rice mediocre best,"['and', 'bean', 'rice', 'mediocre', 'best']",45,0.6369,1
Best tacos in town by far!!,1,best tacos town far,best taco town far,"['best', 'taco', 'town', 'far']",27,0.6369,1
I took back my money and got outta there.,0,i took back money got there,i took back money got there,"['i', 'took', 'back', 'money', 'got', 'there']",41,0.0,0
"In an interesting part of town, this place is amazing.",1,in interesting part town place amazing,in interesting part town place amazing,"['in', 'interesting', 'part', 'town', 'place', 'amazing']",54,0.7579,1
RUDE & INCONSIDERATE MANAGEMENT.,0,rude management,rude management,"['rude', 'management']",32,-0.4588,0
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,the staff not friendly wait times served horrible no one even first minutes,the staff not friendly wait time served horrible no one even first minute,"['the', 'staff', 'not', 'friendly', 'wait', 'time', 'served', 'horrible', 'no', 'one', 'even', 'first', 'minute']",126,-0.8089,0
I won't be back.,0,i wont back,i wont back,"['i', 'wont', 'back']",16,0.0,0
They have great dinners.,1,they great,they great,"['they', 'great']",24,0.6249,1
The service was outshining & I definitely recommend the Halibut.,1,the service i definitely recommend,the service i definitely recommend,"['the', 'service', 'i', 'definitely', 'recommend']",64,0.6369,1
The food was terrible.,0,the food terrible,the food terrible,"['the', 'food', 'terrible']",22,-0.4767,0
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,will never ever go back and have told many people what had happened,will never ever go back and have told many people what had happened,"['will', 'never', 'ever', 'go', 'back', 'and', 'have', 'told', 'many', 'people', 'what', 'had', 'happened']",68,0.0,0
I don't recommend unless your car breaks down in front of it and you are starving.,0,i dont recommend unless car front,i dont recommend unless car front,"['i', 'dont', 'recommend', 'unless', 'car', 'front']",82,-0.2755,0
I will come back here every time I'm in Vegas.,1,i come back every time im vegas,i come back every time im vega,"['i', 'come', 'back', 'every', 'time', 'im', 'vega']",46,0.0,0
This place deserves one star and 90% has to do with the food.,0,this place deserves one star food,this place deserves one star food,"['this', 'place', 'deserves', 'one', 'star', 'food']",61,0.0,0
This is a disgrace.,0,this,this,['this'],19,0.0,0
Def coming back to bowl next time,1,coming back bowl next time,coming back bowl next time,"['coming', 'back', 'bowl', 'next', 'time']",33,0.0,0
"If you want healthy authentic or ethic food, try this place.",1,if want healthy authentic food try place,if want healthy authentic food try place,"['if', 'want', 'healthy', 'authentic', 'food', 'try', 'place']",60,0.4588,1
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1,i come ladies night night highly recommend place anyone area,i come lady night night highly recommend place anyone area,"['i', 'come', 'lady', 'night', 'night', 'highly', 'recommend', 'place', 'anyone', 'area']",124,0.4201,1
"I have been here several times in the past, and the experience has always been great.",1,i several times experience always great,i several time experience always great,"['i', 'several', 'time', 'experience', 'always', 'great']",85,0.6249,1
We walked away stuffed and happy about our first Vegas buffet experience.,1,we walked away stuffed happy first vegas buffet experience,we walked away stuffed happy first vega buffet experience,"['we', 'walked', 'away', 'stuffed', 'happy', 'first', 'vega', 'buffet', 'experience']",73,0.5719,1
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,service excellent prices pretty reasonable considering vegas inside mall,service excellent price pretty reasonable considering vega inside mall,"['service', 'excellent', 'price', 'pretty', 'reasonable', 'considering', 'vega', 'inside', 'mall']",135,0.7845,1
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,to food incredible nothing quite like,to food incredible nothing quite like,"['to', 'food', 'incredible', 'nothing', 'quite', 'like']",147,-0.3241,0
I'm probably one of the few people to ever go to Ians and not like it.,0,im probably one people ever go not like it,im probably one people ever go not like it,"['im', 'probably', 'one', 'people', 'ever', 'go', 'not', 'like', 'it']",70,-0.2755,0
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,kids pizza always hit lots great side dish options,kid pizza always hit lot great side dish option,"['kid', 'pizza', 'always', 'hit', 'lot', 'great', 'side', 'dish', 'option']",83,0.6249,1
Service is perfect and the family atmosphere is nice to see.,1,service perfect family atmosphere nice see,service perfect family atmosphere nice see,"['service', 'perfect', 'family', 'atmosphere', 'nice', 'see']",60,0.7579,1
Cooked to perfection and the service was impeccable.,1,cooked perfection service impeccable,cooked perfection service impeccable,"['cooked', 'perfection', 'service', 'impeccable']",52,0.5719,1
This one is simply a disappointment.,0,this one simply disappointment,this one simply disappointment,"['this', 'one', 'simply', 'disappointment']",36,-0.5106,0
"Overall, I was very disappointed with the quality of food at Bouchon.",0,overall i disappointed quality food,overall i disappointed quality food,"['overall', 'i', 'disappointed', 'quality', 'food']",69,-0.4767,0
I don't have to be an accountant to know I'm getting screwed!,0,i dont know im getting,i dont know im getting,"['i', 'dont', 'know', 'im', 'getting']",61,0.0,0
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,great place eat little mom pop bay area,great place eat little mom pop bay area,"['great', 'place', 'eat', 'little', 'mom', 'pop', 'bay', 'area']",93,0.6249,1
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,today first taste hot dog i tell i ever thought possible,today first taste hot dog i tell i ever thought possible,"['today', 'first', 'taste', 'hot', 'dog', 'i', 'tell', 'i', 'ever', 'thought', 'possible']",119,0.0,0
Left very frustrated.,0,left,left,['left'],21,0.0,0
